name,mem_id,ch_name,eng_name,birth,party,district
강길부,9770276,姜吉夫,KANG GHILBOO,1942-06-05,무소속,울산 울주군
강병원,9770933,姜炳遠,KANG BYUNGWON,1971-07-09,더불어민주당,서울 은평구을
강석진,9771036,姜錫振,KANG SEOKJIN,1959-12-07,자유한국당,경남 산청군함양군거창군합천군
강석호,9770512,姜碩鎬,KANG SEOKHO,1955-12-03,자유한국당,경북 영양군영덕군봉화군울진군
강창일,9770279,姜昌一,KANG CHANGIL,1952-01-28,더불어민주당,제주 제주시갑
강효상,9771054,姜孝祥,KHANG HYOSHANG,1961-03-01,자유한국당,비례대표
강훈식,9771007,姜勳植,KANG HOONSIK,1973-10-24,더불어민주당,충남 아산시을
경대수,9770708,慶大秀,KYEONG DAESOO,1958-03-18,자유한국당,충북 증평군진천군음성군
고용진,9770931,高榕禛,KOH YONGJIN,1964-08-06,더불어민주당,서울 노원구갑
곽대훈,9770961,郭大勳,KWAK DAEHOON,1955-06-05,자유한국당,대구 달서구갑
곽상도,9770956,郭尙道,KWAK SANGDO,1959-12-23,자유한국당,대구 중구남구
권미혁,9771066,權美赫,KWON MIHYUK,1959-01-10,더불어민주당,비례대표
권성동,9770679,權性東,KWEON SEONGDONG,1960-04-29,자유한국당,강원 강릉시
권은희,9770977,權垠希,KWON EUNHEE,1974-02-15,바른미래당,광주 광산구을
권칠승,9770998,權七勝,KWON CHILSEUNG,1965-11-18,더불어민주당,경기 화성시병
금태섭,9770937,琴泰燮,KEUM TAESUP,1967-09-29,더불어민주당,서울 강서구갑
기동민,9770927,奇東旻,KI DONGMIN,1966-02-23,더불어민주당,서울 성북구을
김경진,9770970,金京鎭,KIM KYUNGJIN,1966-07-14,민주평화당,광주 북구갑
김경협,9770712,金炅俠,KIM KYUNGHYUP,1962-11-07,더불어민주당,경기 부천시원미구갑
김관영,9770713,金寬永,KIM KWANYOUNG,1969-11-15,바른미래당,전북 군산시
김광림,9770523,金光琳,KIM GWANGLIM,1948-04-28,자유한국당,경북 안동시
김광수,9771011,金光守,KIM KWANGSOO,1958-06-11,민주평화당,전북 전주시갑
김규환,9771044,金奎煥,KIM GYUHWAN,1956-06-18,자유한국당,비례대표
김기선,9770716,金起善,KIM KISUN,1952-10-29,자유한국당,강원 원주시갑
김도읍,9770719,金度邑,KIM DOEUP,1964-07-06,자유한국당,부산 북구강서구을
김동철,9770295,金東喆,KIM DONGCHEOL,1955-06-30,바른미래당,광주 광산구갑
김두관,9770997,金斗官,KIM DUKWAN,1959-04-10,더불어민주당,경기 김포시갑
김명연,9770721,金明淵,KIM MYUNGYEON,1964-02-28,자유한국당,경기 안산시단원구갑
김무성,9770895,金武星,KIM MOOSUNG,1951-09-20,자유한국당,부산 중구영도구
김민기,9770723,金敏基,KIM MINKI,1966-04-28,더불어민주당,경기 용인시을
김병관,9770983,金炳官,KIM BYOUNGGWAN,1973-01-15,더불어민주당,경기 성남시분당구갑
김병기,9770941,金炳基,KIM BYUNGKEE,1961-07-10,더불어민주당,서울 동작구갑
김병욱,9770984,金炳旭,KIM BYUNGWOOK,1965-04-15,더불어민주당,경기 성남시분당구을
김부겸,9770960,金富謙,KIM BOOKYUM,1958-01-21,더불어민주당,대구 수성구갑
김삼화,9771077,金三和,KIM SAMHWA,1962-08-01,바른미래당,비례대표
김상훈,9770725,金相勳,KIM SANGHOON,1963-01-25,자유한국당,대구 서구
김상희,9770527,金相姬,KIM SANGHEE,1954-05-18,더불어민주당,경기 부천시소사구
김석기,9771024,金碩基,KIM SEOKKI,1954-08-06,자유한국당,경북 경주시
김선동,9770930,金善東,KIM SEONDONG,1963-10-09,자유한국당,서울 도봉구을
김성수,9771065,金聖洙,KIM SUNGSOO,1956-09-09,더불어민주당,비례대표
김성식,9770942,金成植,KIM SONGSIK,1958-12-16,바른미래당,서울 관악구갑
김성원,9770985,金成願,KIM SUNGWON,1973-10-15,자유한국당,경기 동두천시연천군
김성찬,9770727,金盛贊,KIM SUNGCHAN,1954-05-07,자유한국당,경남 창원시진해구
김성태,9770974,金聖泰,KIM SUNGTAE,1958-05-23,자유한국당,서울 강서구을
김성태,9771046,金成泰,KIM SEANGTAE,1954-07-24,자유한국당,비례대표
김성환,9771089,金星煥,KIM SUNG WHAN,1965-10-15,더불어민주당,서울 노원구병
김세연,9770534,金世淵,KIM SEYEON,1972-07-15,자유한국당,부산 금정구
김수민,9771075,金秀玟,KIM SUMIN,1986-12-25,바른미래당,비례대표
김순례,9771053,金順禮,KIM SOONRYE,1955-06-27,자유한국당,비례대표
김승희,9771049,金承禧,KIM SEUNGHEE,1954-02-06,자유한국당,비례대표
김영우,9770538,金榮宇,KIM YOUNGWOO,1967-01-20,자유한국당,경기 포천시가평군
김영주,9770975,金榮珠,KIM YOUNGJOO,1955-07-27,더불어민주당,서울 영등포구갑
김영진,9770981,金榮鎭,KIM YOUNGJIN,1967-09-10,더불어민주당,경기 수원시병
김영춘,9770949,金榮春,KIM YOUNGCHOON,1962-02-05,더불어민주당,부산 부산진구갑
김영호,9770934,金映豪,KIM YOUNGHO,1967-09-13,더불어민주당,서울 서대문구을
김용태,9770542,金容兌,KIM YONGTAE,1968-03-26,자유한국당,서울 양천구을
김재경,9770310,金在庚,KIM JAEKYUNG,1961-10-10,자유한국당,경남 진주시을
김재원,9771087,金在原,KIM JAEWON,1964-12-20,자유한국당,경북 상주시군위군의성군청송군
김정우,9770993,金政祐,KIM CHUNGWOO,1968-06-18,더불어민주당,경기 군포시갑
김정재,9771023,金汀才,KIM JUNGJAE,1966-02-15,자유한국당,경북 포항시북구
김정호,9771090,金禎鎬,KIM JUNG HO,1960-06-18,더불어민주당,경남 김해시을
김정훈,9770316,金正薰,KIM JUNGHOON,1957-11-03,자유한국당,부산 남구갑
김종대,9771083,金鍾大,KIM JONGDAE,1966-11-13,정의당,비례대표
김종민,9771009,金鍾民,KIM JONGMIN,1964-05-12,더불어민주당,충남 논산시계룡시금산군
김종석,9771048,金鍾奭,KIM JONGSEOK,1955-08-01,자유한국당,비례대표
김종회,9771016,金鍾懷,KIM JONGHOE,1965-08-24,민주평화당,전북 김제시부안군
김종훈,9770978,金鍾勳,KIM JONGHOON,1964-07-03,민중당,울산 동구
김중로,9771078,金中魯,KIM JOONGRO,1950-10-27,바른미래당,비례대표
김진태,9770740,金鎭台,KIM JINTAE,1964-10-13,자유한국당,강원 춘천시
김진표,9770982,金振杓,KIM JINPYO,1947-05-04,더불어민주당,경기 수원시무
김철민,9770986,金哲玟,KIM CHEOLMIN,1957-02-15,더불어민주당,경기 안산시상록구을
김태년,9770741,金太年,KIM TAENYEON,1965-03-20,더불어민주당,경기 성남시수정구
김태흠,9770742,金泰欽,"Kim, Tae Heum",1963-01-11,자유한국당,충남 보령시서천군
김학용,9770670,金學容,KIM HACKYONG,1961-12-10,자유한국당,경기 안성시
김한정,9770991,金漢正,KIM HANJUNG,1963-09-06,더불어민주당,경기 남양주시을
김한표,9770744,金漢杓,KIM HANPYO,1954-08-24,자유한국당,경남 거제시
김해영,9770953,金海永,KIM HAEYOUNG,1977-01-02,더불어민주당,부산 연제구
김현권,9771061,金玄權,KIM HYUNKWON,1963-04-06,더불어민주당,비례대표
김현미,9770746,金賢美,KIM HYUNMEE,1962-11-29,더불어민주당,경기 고양시정
김현아,9771055,金炫我,KIM HYUNAH,1969-08-19,자유한국당,비례대표
나경원,9770903,羅卿瑗,NA KYUNGWON,1963-12-06,자유한국당,서울 동작구을
남인순,9770752,南仁順,NAM INSOON,1958-11-05,더불어민주당,서울 송파구병
노웅래,9770753,盧雄來,NOH WOONGRAE,1957-08-03,더불어민주당,서울 마포구갑
도종환,9770755,都鍾煥,DO JONGHWAN,1955-09-27,더불어민주당,충북 청주시흥덕구
맹성규,9771091,孟聖奎,MAENG SUNG KYU,1962-04-05,더불어민주당,인천 남동구갑
문진국,9771042,文鎭國,MOON JINKOOK,1949-02-01,자유한국당,비례대표
문희상,9770084,文喜相,MOON HEESANG,1945-03-03,무소속,경기 의정부시갑
민경욱,9770964,閔庚旭,MIN KYUNGWOOK,1963-06-17,자유한국당,인천 연수구을
민병두,9770761,閔丙梪,MIN BYUNGDOO,1958-06-10,더불어민주당,서울 동대문구을
민홍철,9770764,閔洪喆,MIN HONGCHUL,1961-04-18,더불어민주당,경남 김해시갑
박경미,9771056,朴炅美,PARK KYUNGMEE,1965-10-15,더불어민주당,비례대표
박광온,9770911,朴洸瑥,PARK KWANGON,1957-03-26,더불어민주당,경기 수원시정
박대출,9770767,朴大出,PARK DAECHUL,1961-03-18,자유한국당,경남 진주시갑
박덕흠,9770768,朴德欽,PARK DUKHYUM,1953-10-18,자유한국당,충북 보은군옥천군영동군괴산군
박맹우,9770908,朴孟雨,BAK MAENGWOO,1951-12-06,자유한국당,울산 남구을
박명재,9770899,朴明在,PARK MYUNGJAE,1947-07-05,자유한국당,경북 포항시남구울릉군
박범계,9770770,朴範界,PARK BEOMKYE,1963-04-27,더불어민주당,대전 서구을
박병석,9770090,朴炳錫,PARK BYEONGSEUG,1952-01-25,더불어민주당,대전 서구갑
박선숙,9771073,朴仙淑,PARK SUNSOOK,1960-12-01,바른미래당,비례대표
박성중,9770944,朴成重,PARK SUNGJOONG,1958-08-01,자유한국당,서울 서초구을
박순자,9770987,朴順子,PARK SOONJA,1958-10-12,자유한국당,경기 안산시단원구을
박영선,9770347,朴映宣,PARK YOUNGSUN,1960-01-22,더불어민주당,서울 구로구을
박완수,9771030,朴完洙,PARK WANSU,1955-08-26,자유한국당,경남 창원시의창구
박완주,9770774,朴完柱,PARK WANJOO,1966-11-10,더불어민주당,충남 천안시을
박용진,9770929,朴用鎭,PARK YONGJIN,1971-04-17,더불어민주당,서울 강북구을
박인숙,9770776,朴仁淑,PARK INSOOK,1948-11-10,자유한국당,서울 송파구갑
박재호,9770950,朴在昊,PARK JAEHO,1959-02-13,더불어민주당,부산 남구을
박정,9770995,朴釘,PARK JEUNG,1962-11-19,더불어민주당,경기 파주시을
박주민,9770932,朴柱民,PARK JUMIN,1973-11-21,더불어민주당,서울 은평구갑
박주선,9770566,朴柱宣,PARK JOOSUN,1949-07-23,바른미래당,광주 동구남구을
박주현,9771071,朴珠賢,PARK JOOHYUN,1963-04-11,바른미래당,비례대표
박지원,9770568,朴智元,PARK JIEWON,1942-06-05,민주평화당,전남 목포시
박찬대,9770963,朴贊大,PARK CHANDAE,1967-05-10,더불어민주당,인천 연수구갑
박홍근,9770779,朴洪根,PARK HONGGEUN,1969-10-08,더불어민주당,서울 중랑구을
백승주,9771025,白承周,BAEK SEUNGJOO,1961-03-20,자유한국당,경북 구미시갑
백재현,9770573,白在鉉,BAEK JAEHYUN,1951-07-04,더불어민주당,경기 광명시갑
백혜련,9770980,白惠蓮,BACK HYERYUN,1967-02-17,더불어민주당,경기 수원시을
변재일,9770356,卞在一,BYUN JAEILL,1948-09-02,더불어민주당,충북 청주시청원구
서삼석,9771092,徐參錫,SEO SAM SEOK,1959-08-03,더불어민주당,전남 영암군무안군신안군
서영교,9770784,徐瑛敎,SEO YOUNGKYO,1964-11-11,더불어민주당,서울 중랑구갑
서청원,9770898,徐淸源,SUH CHUNGWON,1943-04-03,무소속,경기 화성시갑
